,期货结算价(活跃合约):焦煤,综合平均价格指数:环渤海动力煤(Q5500K),期货结算价(连续):布伦特原油,期货结算价(连续):IPE英国天然气,期货结算价(连续):WTI原油,钻机数量:美国:当周值,期货结算价(活跃合约):阴极铜,期货结算价(活跃合约):铝,总库存:LME铝,上期有色金属指数,期货结算价(活跃合约):甲醇,期货结算价(活跃合约):聚丙烯,期货结算价(活跃合约):燃料油,市场价:涤纶长丝(FDY150D/96F):全国,CCFEI价格指数:涤纶短纤,中国铁矿石价格指数(CIOPI):国产铁矿石,全国主要港口:铁矿石库存:总计(45港口),Myspic综合钢价指数,水泥价格指数:全国,22个省市:平均价:猪肉,平均价:羊肉:全国,期货结算价(活跃合约):菜籽油,日均产量:粗钢:重点企业(旬),日均产量:生铁:重点企业(旬),南华工业品指数,日均耗煤量:6大发电集团:合计:月:环比,期货结算价(活跃合约):IPE英国天然气:月:环比,全国主要港口:铁矿石库存:总计:环比,平均批发价:羊肉:月:环比
2017/2/28,0.233511138,-0.709421112,0.958981419,-4.51749911,1.596654787,8.235294118,3.236369087,5.59398855,-1.671520308,3.361166519,6.985157008,2.235494985,-4.243001031,-1.797295395,5.128457681,3.970421525,8.369386073,4.568049597,-1.231466613,-2.151579764,0.102372368,-2.034102053,3.346341463,3.313800768,4.143384446,-10.20 ,-4.08 ,9.1,1.66 
2017/3/31,5.909286731,1.849376114,-6.558602769,-23.52407029,-7.626120005,5.758996452,-1.521091925,-0.945949483,-9.80815988,-1.80701988,-11.27927811,-9.540951288,-10.91745646,-10.30022929,-9.473157888,8.435480666,2.377217328,2.396826557,2.41354396,-5.829982769,-2.145013457,-5.005220993,2.0750535,0.914969868,-2.409486523,18.79 ,-19.23 ,0.21,0.52 
2017/4/30,-10.67909841,0.432612313,2.378812256,-5.066400345,2.823806119,7.506592441,-2.22372511,2.663081695,-15.54094042,-3.2615833,-9.410994777,-5.521803716,-2.490575899,-3.988442417,-5.078894867,-13.80532276,0.077621613,-11.19544206,4.719224523,-2.004603474,-0.710622711,-5.957859991,5.066299044,4.49721792,-6.430382756,-2.43 ,-5.62 ,0.24,0.11 
2017/5/31,-11.32875225,-1.606086221,-4.725612064,-6.299376218,-5.310768658,4.424530944,-2.033964522,-2.04769109,-13.69672803,-2.300288329,-5.830059706,-1.025042948,3.519683144,-2.53218283,-2.512025298,-7.94757629,4.135963011,2.558721012,1.665439851,-4.106306503,-0.293901543,1.476730698,-2.456929396,-3.40266519,-3.451785787,-4.75 ,-4.16 ,8.04,-0.39 
2017/6/30,-4.829038427,-3.908651735,-8.068359672,-2.540124249,-7.398095161,4.149667168,0.899821817,-1.048598408,-6.838292281,0.597957726,0.1364377,-0.588951427,2.469661388,5.492200129,1.536919861,-4.677144757,3.355536006,1.968975838,-0.84990627,-7.981275875,-0.267059582,-2.232422555,3.690776638,2.695319264,-1.584243825,3.28 ,-1.95 ,2.7,-0.05 
2017/7/31,16.84097986,2.106620808,3.245130059,0.709444797,3.208907901,2.266526758,4.169798638,3.749193693,-4.66448993,4.471243736,5.77919058,5.493680347,-3.671144159,8.183251202,7.259874266,5.621456556,-0.391469676,5.846586961,-1.627106206,-1.703349282,0.156307466,6.143487178,-0.494657697,-1.038001749,8.307864397,14.92 ,1.33 ,0.25,0.01 
2017/8/31,12.91599837,0.017193948,5.246633066,15.00729432,2.837290996,-0.607020322,6.362005102,9.938875528,-5.061099182,7.018923499,7.52780154,6.926629705,2.102378653,-4.117247806,0.111842606,6.724620291,-3.797813711,7.909383055,-0.815829404,0.830367734,0.4466901,2.888307266,1.29432026,1.152848496,7.716083189,10.43 ,15.32 ,-3.51,-0.02 
2017/9/30,-4.374159923,0.368308351,6.571803515,6.167670743,3.418918998,-0.814176245,0.299996128,3.642352965,-0.337156034,0.676808771,5.670796325,2.965512937,1.157168434,6.105394292,7.239823051,0.21972149,-3.187264455,2.268072813,3.551634337,1.2695587,2.138218301,-0.145194852,-0.769327107,-1.582933208,-1.012355935,-10.65 ,8.15 ,-3.03,3.44 
2017/10/31,-17.86036095,-0.071428571,3.695668825,7.56382146,3.557542409,-1.964188823,4.935812031,-0.766896599,-7.056779821,3.181457106,-5.019400972,-1.672084177,-3.316124656,-2.076158904,1.869947149,-8.500996136,-0.104211027,-0.742824055,4.740228325,-0.530612245,2.530558789,-2.258699321,-2.674651432,-3.211120064,-5.573644287,-10.46 ,7.93 ,-0.3,3.61 
2017/11/30,8.101897784,-0.992613112,8.298326163,9.30693898,9.082316756,-1.180345869,-0.556453597,-6.000667683,-5.782022822,-0.729681155,6.698483611,1.460034323,0,3.293348261,1.790999298,-0.54252272,3.897462379,1.490704186,7.132612948,-0.882923546,2.104915268,1.692593358,-2.361745736,-3.075229967,2.563309709,-5.66 ,9.55 ,3.56,2.78 
